,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
55,1686384000000,25651.08000000,25723.30000000,25561.25000000,25717.96000000,1930.91928000,1686385799999,49481250.11268880,41003,1010.32465000,25893910.37849900,0
56,1686385800000,25717.96000000,25750.25000000,25637.56000000,25669.07000000,1418.56313000,1686387599999,36447787.80142570,29431,636.15106000,16345827.65120300,0
57,1686387600000,25669.06000000,25680.00000000,25620.00000000,25625.36000000,950.57178000,1686389399999,24383663.57763870,25264,437.19531000,11215154.28115120,0
58,1686389400000,25625.35000000,25682.78000000,25614.85000000,25651.88000000,491.17843000,1686391199999,12598635.56401170,19996,268.04392000,6875158.74335290,0
59,1686391200000,25651.89000000,25663.65000000,25598.49000000,25637.42000000,656.44721000,1686392999999,16832498.14239620,22602,302.94361000,7768233.17386970,0
60,1686393000000,25637.42000000,25701.68000000,25626.61000000,25698.31000000,520.67755000,1686394799999,13364501.07387950,18331,312.29655000,8016140.68352750,0
61,1686394800000,25698.30000000,25716.66000000,25659.07000000,25683.54000000,577.21367000,1686396599999,14824657.77508970,20145,277.67485000,7131977.88771290,0
62,1686396600000,25683.54000000,25739.29000000,25665.33000000,25731.40000000,619.89787000,1686398399999,15939895.34676390,20926,373.89997000,9614374.82390120,0
63,1686398400000,25731.41000000,25731.41000000,25623.66000000,25637.28000000,794.22091000,1686400199999,20388811.81404850,22243,311.91709000,8005805.45512290,0
64,1686400200000,25637.27000000,25677.00000000,25608.58000000,25616.18000000,739.05789000,1686401999999,18950694.67740950,23213,358.44436000,9192680.84787580,0
65,1686402000000,25616.19000000,25659.81000000,25572.94000000,25657.46000000,599.55937000,1686403799999,15359967.13130300,26052,305.42983000,7824283.22299330,0
66,1686403800000,25657.45000000,25679.06000000,25625.51000000,25657.49000000,619.67454000,1686405599999,15893603.66862720,20051,334.10285000,8569412.74148480,0
67,1686405600000,25657.50000000,25706.57000000,25638.05000000,25651.22000000,784.43426000,1686407399999,20137887.70215900,26761,396.46217000,10177963.89512150,0
68,1686407400000,25651.23000000,25669.15000000,25627.00000000,25668.34000000,628.43040000,1686409199999,16114587.90422340,20292,302.49191000,7756918.92898630,0
